episode,ckpt,distance_to_goal,SR,SPL,collisions_count
38.0,25.0,0.07,1.0,0.96,2.0
7.0,31.0,0.1,1.0,0.77,17.0
33.0,8.0,0.52,0.0,0.0,0.0
38.0,29.0,0.17,1.0,1.0,0.0
19.0,26.0,0.46,0.0,0.0,3.0
7.0,20.0,0.16,1.0,0.77,7.0
21.0,49.0,0.08,1.0,0.98,6.0
33.0,29.0,0.45,0.0,0.0,2.0
19.0,11.0,1.17,0.0,0.0,0.0
35.0,42.0,0.1,1.0,0.69,0.0
23.0,24.0,0.21,0.0,0.0,0.0
29.0,26.0,0.27,0.0,0.0,2.0
15.0,4.0,1.19,0.0,0.0,2.0
3.0,11.0,1.06,0.0,0.0,4.0
3.0,29.0,0.05,1.0,0.86,3.0
26.0,33.0,0.15,1.0,0.94,12.0
19.0,23.0,1.17,0.0,0.0,0.0
19.0,32.0,1.17,0.0,0.0,0.0
21.0,37.0,0.15,1.0,1.0,5.0
12.0,39.0,0.35,0.0,0.0,19.0
15.0,6.0,0.26,0.0,0.0,0.0
26.0,26.0,0.63,0.0,0.0,9.0
33.0,19.0,0.13,1.0,0.85,2.0
16.0,32.0,0.2,1.0,0.77,6.0
12.0,26.0,0.27,0.0,0.0,19.0
15.0,46.0,0.32,0.0,0.0,0.0
19.0,12.0,1.17,0.0,0.0,0.0
21.0,12.0,0.12,1.0,0.95,1.0
26.0,20.0,0.2,0.0,0.0,0.0
7.0,11.0,0.82,0.0,0.0,0.0
3.0,21.0,0.12,1.0,0.81,4.0
33.0,7.0,0.49,0.0,0.0,1.0
20.0,21.0,1.05,0.0,0.0,0.0
12.0,44.0,0.18,1.0,0.55,23.0
23.0,4.0,1.5,0.0,0.0,0.0
16.0,23.0,0.12,1.0,0.94,2.0
19.0,35.0,0.1,1.0,0.78,0.0
12.0,29.0,0.17,1.0,0.44,41.0
29.0,4.0,0.41,0.0,0.0,2.0
38.0,18.0,0.21,0.0,0.0,0.0
16.0,45.0,0.09,1.0,0.89,8.0
12.0,32.0,0.13,1.0,0.5,12.0
29.0,11.0,0.43,0.0,0.0,2.0
3.0,34.0,0.1,1.0,0.74,2.0
23.0,41.0,0.29,0.0,0.0,0.0
35.0,28.0,0.1,1.0,0.76,0.0
23.0,25.0,0.93,0.0,0.0,0.0
38.0,38.0,0.36,0.0,0.0,0.0
29.0,32.0,0.23,0.0,0.0,2.0
19.0,20.0,0.61,0.0,0.0,1.0
23.0,22.0,0.47,0.0,0.0,0.0
39.0,34.0,0.19,1.0,0.81,1.0
16.0,4.0,0.85,0.0,0.0,0.0
16.0,24.0,0.57,0.0,0.0,0.0
20.0,32.0,0.12,1.0,1.0,1.0
39.0,31.0,0.03,1.0,0.91,0.0
26.0,8.0,1.68,0.0,0.0,4.0
7.0,48.0,0.35,0.0,0.0,3.0
3.0,38.0,0.34,0.0,0.0,6.0
20.0,38.0,0.07,1.0,1.0,9.0
19.0,19.0,1.17,0.0,0.0,0.0
21.0,24.0,0.17,1.0,0.79,0.0
38.0,20.0,0.11,1.0,0.92,0.0
33.0,9.0,0.47,0.0,0.0,2.0
29.0,9.0,0.38,0.0,0.0,2.0
12.0,49.0,0.32,0.0,0.0,22.0
29.0,23.0,0.1,1.0,0.97,3.0
29.0,5.0,0.2,0.0,0.0,2.0
15.0,39.0,0.19,1.0,0.95,0.0
3.0,25.0,0.08,1.0,0.86,3.0
38.0,10.0,0.5,0.0,0.0,1.0
16.0,48.0,0.36,0.0,0.0,5.0
3.0,8.0,1.46,0.0,0.0,4.0
19.0,46.0,0.24,0.0,0.0,0.0
15.0,41.0,0.09,1.0,0.81,0.0
12.0,35.0,0.71,0.0,0.0,50.0
19.0,6.0,0.43,0.0,0.0,42.0
38.0,37.0,0.1,1.0,0.92,0.0
21.0,10.0,2.37,0.0,0.0,0.0
39.0,46.0,0.4,0.0,0.0,0.0
23.0,6.0,0.08,1.0,0.78,0.0
29.0,28.0,0.15,1.0,0.77,2.0
38.0,40.0,0.1,1.0,0.82,0.0
20.0,3.0,0.17,1.0,0.63,2.0
21.0,11.0,0.23,0.0,0.0,0.0
33.0,33.0,0.23,0.0,0.0,0.0
38.0,23.0,0.5,0.0,0.0,3.0
26.0,31.0,0.15,1.0,0.94,12.0
7.0,39.0,0.34,0.0,0.0,0.0
23.0,28.0,0.38,0.0,0.0,1.0
39.0,28.0,0.04,1.0,0.93,2.0
29.0,24.0,0.12,1.0,0.91,2.0
21.0,46.0,0.18,1.0,0.91,5.0
39.0,43.0,0.1,1.0,0.91,0.0
12.0,46.0,0.55,0.0,0.0,13.0
15.0,45.0,0.1,1.0,0.95,0.0
38.0,8.0,0.56,0.0,0.0,0.0
19.0,38.0,0.09,1.0,0.93,0.0
20.0,19.0,0.06,1.0,0.87,0.0
26.0,27.0,0.63,0.0,0.0,12.0
12.0,36.0,0.11,1.0,0.45,20.0
29.0,31.0,0.13,1.0,0.59,5.0
35.0,2.0,0.16,1.0,0.36,0.0
33.0,39.0,0.16,1.0,0.95,0.0
23.0,5.0,0.15,1.0,0.48,1.0
39.0,45.0,0.12,1.0,0.9,0.0
26.0,17.0,0.18,1.0,0.94,0.0
16.0,35.0,0.07,1.0,0.84,6.0
33.0,37.0,0.34,0.0,0.0,0.0
3.0,16.0,0.38,0.0,0.0,4.0
7.0,9.0,1.06,0.0,0.0,0.0
12.0,28.0,0.11,1.0,0.55,25.0
15.0,13.0,0.16,1.0,0.84,1.0
38.0,46.0,0.43,0.0,0.0,1.0
38.0,12.0,0.05,1.0,0.82,0.0
20.0,31.0,0.17,1.0,0.76,22.0
12.0,25.0,0.19,1.0,0.49,36.0
29.0,2.0,0.63,0.0,0.0,2.0
33.0,18.0,0.11,1.0,0.95,0.0
12.0,43.0,0.56,0.0,0.0,18.0
23.0,7.0,0.15,1.0,0.8,2.0
35.0,38.0,0.91,0.0,0.0,0.0
35.0,26.0,0.13,1.0,0.76,0.0
33.0,10.0,0.26,0.0,0.0,2.0
39.0,14.0,0.38,0.0,0.0,0.0
12.0,12.0,0.11,1.0,0.62,10.0
7.0,42.0,0.49,0.0,0.0,3.0
39.0,41.0,0.1,1.0,0.91,0.0
7.0,17.0,0.26,0.0,0.0,9.0
23.0,2.0,0.15,1.0,0.48,3.0
20.0,45.0,0.19,1.0,0.85,3.0
29.0,3.0,0.07,1.0,0.77,2.0
29.0,39.0,0.46,0.0,0.0,2.0
21.0,36.0,0.07,1.0,0.95,5.0
21.0,33.0,0.17,1.0,0.76,7.0
35.0,40.0,0.63,0.0,0.0,0.0
16.0,11.0,2.72,0.0,0.0,0.0
7.0,41.0,0.05,1.0,0.75,3.0
33.0,43.0,0.05,1.0,0.95,0.0
19.0,27.0,0.16,1.0,0.97,1.0
26.0,16.0,0.3,0.0,0.0,0.0
35.0,44.0,0.12,1.0,0.69,0.0
16.0,14.0,0.02,1.0,0.8,9.0
39.0,29.0,0.59,0.0,0.0,0.0
39.0,24.0,0.48,0.0,0.0,0.0
15.0,1.0,0.34,0.0,0.0,2.0
3.0,2.0,0.14,1.0,0.53,4.0
21.0,4.0,1.1,0.0,0.0,0.0
20.0,6.0,0.07,1.0,0.73,10.0
20.0,7.0,0.08,1.0,0.64,29.0
15.0,18.0,0.21,0.0,0.0,1.0
12.0,30.0,0.16,1.0,0.41,19.0
39.0,32.0,0.14,1.0,0.91,0.0
12.0,3.0,0.55,0.0,0.0,8.0
20.0,23.0,0.13,1.0,0.95,0.0
20.0,9.0,2.17,0.0,0.0,0.0
16.0,2.0,1.67,0.0,0.0,7.0
3.0,19.0,0.37,0.0,0.0,2.0
38.0,2.0,0.16,1.0,0.32,6.0
21.0,41.0,0.04,1.0,0.98,6.0
15.0,36.0,0.08,1.0,0.81,0.0
23.0,30.0,0.22,0.0,0.0,0.0
33.0,34.0,0.15,1.0,0.85,2.0
35.0,4.0,0.15,1.0,0.54,0.0
35.0,31.0,0.12,1.0,0.69,0.0
15.0,31.0,0.29,0.0,0.0,1.0
15.0,8.0,0.51,0.0,0.0,1.0
21.0,9.0,0.05,1.0,0.99,2.0
29.0,22.0,0.14,1.0,0.95,3.0
26.0,29.0,0.15,1.0,1.0,8.0
15.0,40.0,0.11,1.0,0.95,0.0
39.0,19.0,0.2,0.0,0.0,0.0
26.0,18.0,0.26,0.0,0.0,0.0
39.0,48.0,0.6,0.0,0.0,0.0
16.0,49.0,0.42,0.0,0.0,6.0
35.0,9.0,1.89,0.0,0.0,0.0
16.0,46.0,0.07,1.0,0.94,6.0
38.0,9.0,0.19,1.0,1.0,2.0
21.0,47.0,0.16,1.0,0.95,0.0
7.0,26.0,0.17,1.0,0.85,3.0
33.0,11.0,0.15,1.0,0.95,1.0
7.0,34.0,0.04,1.0,0.65,3.0
33.0,38.0,0.12,1.0,0.85,2.0
23.0,10.0,1.45,0.0,0.0,0.0
26.0,49.0,0.13,1.0,1.0,7.0
38.0,34.0,0.13,1.0,0.92,0.0
23.0,33.0,0.25,0.0,0.0,0.0
23.0,11.0,0.99,0.0,0.0,0.0
3.0,1.0,2.03,0.0,0.0,5.0
35.0,6.0,0.21,0.0,0.0,0.0
7.0,28.0,0.06,1.0,0.85,8.0
15.0,0.0,1.29,0.0,0.0,0.0
20.0,48.0,0.57,0.0,0.0,7.0
7.0,49.0,0.3,0.0,0.0,8.0
15.0,5.0,0.16,1.0,0.81,0.0
29.0,16.0,0.48,0.0,0.0,2.0
38.0,41.0,0.11,1.0,0.93,1.0
35.0,45.0,0.04,1.0,0.94,0.0
35.0,25.0,0.03,1.0,0.84,0.0
3.0,6.0,0.33,0.0,0.0,4.0
20.0,42.0,0.17,1.0,0.89,1.0
12.0,24.0,0.17,1.0,0.54,25.0
35.0,13.0,1.89,0.0,0.0,0.0
16.0,29.0,0.07,1.0,0.8,6.0
26.0,14.0,0.17,1.0,0.85,0.0
23.0,29.0,0.54,0.0,0.0,0.0
7.0,3.0,0.11,1.0,0.83,7.0
33.0,20.0,0.24,0.0,0.0,1.0
39.0,33.0,0.23,0.0,0.0,0.0
16.0,3.0,0.16,1.0,0.62,8.0
15.0,25.0,0.18,1.0,0.81,0.0
21.0,14.0,0.09,1.0,0.79,0.0
35.0,8.0,1.89,0.0,0.0,0.0
33.0,0.0,2.13,0.0,0.0,0.0
33.0,45.0,0.24,0.0,0.0,1.0
19.0,34.0,0.09,1.0,0.93,0.0
12.0,9.0,1.17,0.0,0.0,0.0
3.0,0.0,2.47,0.0,0.0,0.0
29.0,38.0,0.14,1.0,0.68,2.0
35.0,24.0,0.14,1.0,0.76,0.0
12.0,33.0,0.46,0.0,0.0,17.0
12.0,5.0,0.32,0.0,0.0,21.0
7.0,47.0,0.21,0.0,0.0,8.0
33.0,36.0,0.06,1.0,0.86,2.0
19.0,5.0,0.23,0.0,0.0,0.0
23.0,16.0,0.3,0.0,0.0,0.0
33.0,4.0,0.81,0.0,0.0,0.0
3.0,30.0,0.05,1.0,0.42,12.0
35.0,1.0,1.89,0.0,0.0,0.0
38.0,7.0,0.43,0.0,0.0,3.0
3.0,23.0,0.18,1.0,0.86,3.0
26.0,34.0,0.11,1.0,0.95,4.0
15.0,20.0,0.11,1.0,0.83,1.0
33.0,40.0,0.49,0.0,0.0,2.0
15.0,10.0,0.7,0.0,0.0,1.0
15.0,42.0,0.04,1.0,0.81,0.0
26.0,22.0,0.86,0.0,0.0,4.0
7.0,40.0,0.1,1.0,0.71,3.0
26.0,2.0,1.54,0.0,0.0,11.0
23.0,3.0,0.19,1.0,0.14,7.0
35.0,48.0,0.11,1.0,0.76,0.0
20.0,35.0,0.11,1.0,0.87,1.0
15.0,7.0,1.42,0.0,0.0,9.0
16.0,7.0,0.88,0.0,0.0,3.0
29.0,46.0,0.72,0.0,0.0,2.0
3.0,28.0,0.04,1.0,0.8,3.0
38.0,28.0,0.13,1.0,0.92,0.0
39.0,8.0,0.94,0.0,0.0,0.0
33.0,48.0,0.24,0.0,0.0,1.0
3.0,42.0,0.66,0.0,0.0,3.0
26.0,25.0,0.29,0.0,0.0,0.0
15.0,21.0,0.24,0.0,0.0,3.0
35.0,17.0,0.19,1.0,0.7,2.0
39.0,12.0,0.07,1.0,0.91,0.0
3.0,39.0,0.73,0.0,0.0,2.0
29.0,43.0,0.56,0.0,0.0,3.0
26.0,4.0,2.01,0.0,0.0,0.0
7.0,45.0,0.17,1.0,0.65,2.0
38.0,30.0,0.16,1.0,0.83,2.0
3.0,10.0,2.28,0.0,0.0,1.0
21.0,48.0,0.05,1.0,0.95,0.0
16.0,6.0,0.98,0.0,0.0,1.0
33.0,23.0,0.08,1.0,0.96,3.0
33.0,49.0,0.17,1.0,1.0,1.0
33.0,1.0,1.23,0.0,0.0,0.0
33.0,46.0,0.2,0.0,0.0,0.0
21.0,21.0,0.55,0.0,0.0,0.0
23.0,48.0,0.19,1.0,0.78,0.0
35.0,47.0,0.09,1.0,0.76,0.0
21.0,3.0,0.39,0.0,0.0,0.0
15.0,32.0,0.13,1.0,0.81,0.0
29.0,13.0,0.1,1.0,0.89,2.0
19.0,49.0,0.34,0.0,0.0,1.0
15.0,47.0,0.09,1.0,0.95,0.0
35.0,36.0,0.05,1.0,0.58,0.0
29.0,42.0,0.32,0.0,0.0,4.0
7.0,27.0,0.2,0.0,0.0,9.0
20.0,16.0,0.36,0.0,0.0,0.0
12.0,6.0,0.14,1.0,0.45,18.0
21.0,8.0,2.48,0.0,0.0,0.0
20.0,18.0,0.17,1.0,0.87,0.0
39.0,9.0,0.23,0.0,0.0,1.0
15.0,2.0,0.25,0.0,0.0,2.0
3.0,37.0,0.15,1.0,0.51,5.0
16.0,34.0,0.16,1.0,0.85,9.0
39.0,44.0,0.36,0.0,0.0,0.0
29.0,33.0,0.14,1.0,0.77,2.0
38.0,45.0,0.3,0.0,0.0,2.0
33.0,6.0,0.47,0.0,0.0,0.0
21.0,18.0,0.24,0.0,0.0,6.0
33.0,41.0,0.15,1.0,0.77,0.0
23.0,37.0,0.11,1.0,0.62,0.0
16.0,33.0,0.08,1.0,0.78,7.0
29.0,41.0,0.13,1.0,0.91,2.0
15.0,43.0,0.06,1.0,0.81,0.0
16.0,21.0,0.72,0.0,0.0,2.0
20.0,30.0,0.18,1.0,0.89,10.0
12.0,23.0,0.01,1.0,0.7,31.0
29.0,44.0,0.33,0.0,0.0,2.0
35.0,14.0,0.17,1.0,0.84,0.0
33.0,31.0,0.09,1.0,0.95,2.0
19.0,48.0,0.18,1.0,1.0,0.0
3.0,49.0,0.13,1.0,0.86,3.0
23.0,20.0,0.28,0.0,0.0,0.0
3.0,20.0,0.38,0.0,0.0,4.0
7.0,8.0,2.22,0.0,0.0,1.0
21.0,31.0,0.15,1.0,0.45,0.0
20.0,5.0,0.12,1.0,0.74,2.0
39.0,18.0,0.19,1.0,0.91,0.0
26.0,15.0,0.17,1.0,0.94,0.0
21.0,5.0,0.2,0.0,0.0,5.0
23.0,1.0,0.19,1.0,0.62,0.0
38.0,49.0,0.34,0.0,0.0,0.0
16.0,20.0,0.64,0.0,0.0,5.0
35.0,12.0,1.89,0.0,0.0,0.0
20.0,43.0,0.58,0.0,0.0,2.0
21.0,35.0,0.2,0.0,0.0,0.0
29.0,30.0,0.18,1.0,0.55,4.0
12.0,45.0,0.55,0.0,0.0,16.0
7.0,36.0,0.19,1.0,0.54,1.0
20.0,37.0,0.18,1.0,0.83,3.0
39.0,39.0,0.13,1.0,0.79,0.0
7.0,12.0,0.19,1.0,0.84,1.0
39.0,30.0,0.06,1.0,0.91,0.0
38.0,16.0,0.05,1.0,0.92,0.0
23.0,31.0,0.35,0.0,0.0,0.0
26.0,7.0,1.25,0.0,0.0,18.0
20.0,47.0,0.08,1.0,0.99,2.0
23.0,36.0,0.14,1.0,0.8,1.0
7.0,13.0,0.12,1.0,0.85,4.0
26.0,48.0,0.13,1.0,0.94,9.0
21.0,19.0,0.31,0.0,0.0,0.0
29.0,27.0,0.18,1.0,0.99,2.0
38.0,43.0,0.17,1.0,1.0,0.0
16.0,36.0,0.06,1.0,0.86,8.0
7.0,5.0,0.06,1.0,0.73,19.0
21.0,6.0,0.03,1.0,0.79,0.0
21.0,0.0,2.55,0.0,0.0,0.0
35.0,30.0,0.13,1.0,0.76,0.0
19.0,37.0,0.05,1.0,0.93,0.0
7.0,22.0,0.13,1.0,0.85,3.0
12.0,8.0,1.4,0.0,0.0,0.0
29.0,0.0,2.2,0.0,0.0,2.0
26.0,10.0,0.92,0.0,0.0,9.0
20.0,2.0,0.9,0.0,0.0,8.0
15.0,48.0,0.43,0.0,0.0,0.0
29.0,17.0,0.13,1.0,0.75,3.0
20.0,4.0,1.52,0.0,0.0,3.0
12.0,38.0,0.77,0.0,0.0,24.0
29.0,1.0,1.36,0.0,0.0,2.0
29.0,40.0,0.21,0.0,0.0,2.0
20.0,27.0,0.17,1.0,0.87,6.0
3.0,14.0,0.09,1.0,0.81,4.0
33.0,21.0,0.36,0.0,0.0,2.0
33.0,47.0,0.21,0.0,0.0,2.0
16.0,43.0,0.1,1.0,0.96,8.0
38.0,4.0,0.68,0.0,0.0,0.0
38.0,33.0,0.11,1.0,0.82,0.0
12.0,47.0,0.52,0.0,0.0,39.0
16.0,15.0,2.72,0.0,0.0,0.0
21.0,13.0,0.08,1.0,0.95,0.0
23.0,21.0,0.29,0.0,0.0,0.0
21.0,23.0,0.09,1.0,0.95,0.0
29.0,14.0,0.14,1.0,0.82,0.0
